item,count
Test Preparation Needed?,332
Why Get Tested?,331
Sample Required?,331
What is being tested?,331
When To Get Tested?,328
When is it ordered?,328
What does the test result mean?,328
Is there anything else I should know?,310
How is the test used?,179
How is it used?,147
How is the sample collected for testing?,59
Is any test preparation needed to ensure the quality of the sample?,55
Health Professionals – LOINC,28
See Reference Range,14
How long will it take for results?,14
How long will it take for my results?,7
How long will it take for my results?,7
How long does it take to get results?,3
What other lab tests may be done?,3
What is a direct LDL cholesterol test?,3
What is a direct LDL cholesterol test?,3
How long does it take for results?,3
Overview,3
When to Get Tested?,3
How long will it take to get the results of my test?,3
How long will it take to get the results of my test?,3
Where can I get tested?,3
Should everyone with leukemia be tested?,3
Why do I have to collect my urine for 24 hours?,3
Can I have decreased or abnormal fibrinogen and not know it?,2
Can results of testing be used to determine the course of my cancer?,2
Can results of testing be used to determine the course of my cancer?,2
Can I have more than one cause of hepatitis?,2
Why would a man need a test for FSH and LH? I thought these were female hormones.,2
Can this test be done in my healthcare practitioner's office?,2
When are they ordered?,2
Are these tests always run as a panel?,2
"If I have CAH, or my child does, should my family members be tested?",2
Who needs iron supplements?,2
"If I have CAH, or my child does, should my family members be tested?",2
What is Menkes kinky hair syndrome?,2
Potassium Reference Range,2
"What is the difference between serum/plasma albumin, prealbumin, and urine albumin tests?",2
Can I choose either a blood or a urine B2M test?,2
Can I get antibodies from donating blood?,2
How fast does autoimmune hepatitis progress?,2
How is anaphylaxis treated?,2
Can I have more than one pheochromocytoma at once?,2
What medications can affect thyroid testing?,2
How can my actual GFR be determined?,2
Do healthcare practitioners test thyroid hormones during pregnancy?,2
Would this testing also be performed on a man?,2
What other testing might be done?,2
What causes pancreatic insufficiency?,2
Will my results be accurate if I must continue to take my medication?,2
Are some people at a higher risk for developing a carcinoid tumor?,2
Can this test be performed by my local laboratory?,2
Should everyone have their APOE genotype tested?,2
Can this test be performed by my local laboratory?,2
How serious is myasthenia gravis (MG)?,2
How serious is myasthenia gravis (MG)?,2
Is it really necessary to collect urine for 24 hours?,2
Can MG be inherited?,2
Do I need to have a liver biopsy?,2
Can I have my blood tested instead of having a tissue biopsy?,2
Can MG be inherited?,2
Are there other genetic mutations associated with MPNs?,2
What is rhabdomyolysis?,2
What is Edwards syndrome?,2
Why would my healthcare provider order additional tests?,2
"If I have chest pain, does that mean I am having a heart attack?",2
What else can cause diarrhea?,2
"If I have chest pain, does that mean I am having a heart attack?",2
Is there a reason to test for APOE genotype more than once?,2
Sodium Reference Range,2
What is Down syndrome?,2
What is rhabdomyolysis?,2
Can this test be performed on my blood instead?,2
Can this test be performed on my blood instead?,2
Are there other non-invasive screening tests for these disorders?,2
Should I tell my partner that I have syphilis?,1
Should I tell my partner that I have chlamydia?,1
Should I tell my other healthcare providers that I am taking sirolimus?,1
Should I tell my other healthcare providers about my CYP2C19 test results?,1
Should I tell my other doctors I have von Willebrand disease?,1
Should I tell other doctors about my warfarin sensitivity?,1
Should I tell my partner that I have trichomoniasis?,1
Should I tell my other healthcare providers that I am taking tacrolimus?,1
Should I tell my other healthcare providers that I am taking mycophenolate?,1
,1
Should I tell my healthcare providers that I am taking clopidogrel?,1
Should I get a tuberculosis screening test if I am pregnant?,1
Should everyone with liver damage be tested for liver kidney microsome type 1 antibodies (anti-LKM-1)?,1
Should everyone with lung cancer have ALK mutation testing?,1
Should everyone with muscle pain and weakness have a CK test?,1
Should everyone with muscle pain and weakness have a myoglobin test?,1
Should everyone with suspected tuberculosis have an ADA test performed?,1
Should every pregnant woman have a folate test?,1
Should every pregnant woman have amniotic fluid analysis?,1
Should every woman be treated with antibiotics for GBS during delivery or during pregnancy?,1
Should I ask my healthcare practitioner about having NIPS performed?,1
