medicine,before-taking,directions,fda-approval,patient-counseling,pregnancy,storage
1-day,,,,,,
12-hour-nasal,,,,,,
3m-skin-and-nasal-antiseptic,,"Use exactly as directed on the label, or as prescribed by your doctor.
3M Skin and Nasal Antiseptic is available in many different forms, such as a liquid, ointment, aerosol powder, cream, spray, swab, and soap. Read and carefully follow any Instructions for Use provided with your medicine. Ask your doctor or pharmacist if you do not understand these instructions.
Always follow directions on the medicine label about using this medicine on a child. Some forms of povidone iodine topical should not be used in children of certain ages.
3M Skin and Nasal Antiseptic is usually applied to the skin as needed. First clean the area to be treated.
Shake 3M Skin and Nasal Antiseptic spray well just before each use.
Allow the medicine to dry completely on the skin before applying a bandage. Do not apply a tight bandage.
Do not use this medicine on deep wounds, puncture wounds, animal bites, or serious burns. Do not apply over large skin areas.
When treating an infection, you may be given antibiotic medication to take by mouth. Use all medicines for the full prescribed length of time, even if your symptoms quickly improve.
3M Skin and Nasal Antiseptic used in the mouth may be used up to 4 times per day. How often you can use this medicine depends on what form you use. Follow all directions on the medicine label.
Do not use 3M Skin and Nasal Antiseptic in the mouth if you are using a form that is made for use only on the skin.
To use 3M Skin and Nasal Antiseptic spray in the mouth, spray directly into the mouth or throat. Leave the medicine in place for 15 seconds, then spit it out. Avoid swallowing the spray. Use once every 2 hours as needed.
To use 3M Skin and Nasal Antiseptic as a mouth rinse, gargle or swish the liquid for 30 seconds, then spit it out. Do not swallow the liquid. Use up to 4 times per day.
You should not use 3M Skin and Nasal Antiseptic for longer than 7 days without medical advice.
Call your doctor if your sore throat is severe or ongoing after 2 days, or if you also have a high fever, headache, nausea, and vomiting.
If you are using 3M Skin and Nasal Antiseptic on your skin, seek medical advice if you have new or worsening symptoms of pain, redness, swelling, rash, or fever.
Store at room temperature away from moisture and heat. Do not freeze.
Each 3M Skin and Nasal Antiseptic swab is for one use only.
3M Skin and Nasal Antiseptic can stain skin, teeth, and fabric. You may use rubbing alcohol to remove staining from your skin. Avoid getting alcohol onto a wound or irritated skin. Stains on fabric can be removed by rinsing with ammonia diluted with water. Avoid getting the medicine on jewelry, especially silver.
3M Skin and Nasal Antiseptic spray is flammable. Do not use near high heat or open flame. Do not smoke until the gel has completely dried on your skin.
",,,,
4-way,,,,,,
5-htp,,"When considering the use of herbal supplements, seek the advice of your doctor. You may also consider consulting a practitioner who is trained in the use of herbal/health supplements.
If you choose to use 5-HTP, use it as directed on the package or as directed by your doctor, pharmacist, or other healthcare provider. Do not use more of this product than is recommended on the label.
Do not use different forms (tablets, liquid, tincture, teas, etc) of 5-hydroxytryptophan at the same time without medical advice. Using different formulations together increases the risk of an overdose.
Call your doctor if the condition you are treating with 5-HTP does not improve, or if it gets worse while using this product.
If you need surgery, stop taking 5-HTP at least 2 weeks ahead of time.
Store at room temperature away from moisture and heat.
",,,,
5-hydroxytryptophan,,"When considering the use of herbal supplements, seek the advice of your doctor. You may also consider consulting a practitioner who is trained in the use of herbal/health supplements.
If you choose to use 5-hydroxytryptophan, use it as directed on the package or as directed by your doctor, pharmacist, or other healthcare provider. Do not use more of this product than is recommended on the label.
Do not use different forms (tablets, liquid, tincture, teas, etc) of 5-hydroxytryptophan at the same time without medical advice. Using different formulations together increases the risk of an overdose.
Call your doctor if the condition you are treating with 5-hydroxytryptophan does not improve, or if it gets worse while using this product.
If you need surgery, stop taking 5-hydroxytryptophan at least 2 weeks ahead of time.
Store at room temperature away from moisture and heat.
",,,,
8-mop,,,,,,
abilify,,,,,,
abilify-maintena-injection,,,,,,
acetaminophen,,,,,,
acetaminophen_hydrocodone,,,,,,
actos,,,,,,
acyclovir,,,,,,
adderall,,,,,,
adderall-xr,,,,,,
advair-diskus,,,,,,
advil,,,,,,
afinitor,,,,,,
aimovig,,,,,,
ajovy,,,,,,
albuterol,,,,,,
aldactone,,,,,,
alecensa,,,,,,
alendronate,,,,,,
aleve,,,,,,
allegra,,,,,,
allopurinol,,,,,,
alprazolam,,,,,,
alunbrig,,,,,,
amantadine,,,,,,
ambien,,,,,,
amiodarone,,,,,,
amitiza,,,,,,
amitriptyline,,,,,,
amlodipine,,,,,,
amoxicillin,,,,,,
amoxicillin_clavulanate,,,,,,
anastrozole,,,,,,
androgel,,,,,,
annovera,,,,,,
apixaban,,,,,,
apokyn,,,,,,
aricept,,,,,,
arimidex,,,,,,
aripiprazole,,,,,,
aristada,,,,,,
aromasin,,,,,,
aspir-81,,,,,,
aspirin,,,,,,
atarax,,,,,,
atenolol,,,,,,
ativan,,,,,,
atomoxetine,,,,,,
atorvastatin,,,,,,
aubagio,,,,,,
augmentin,,,,,,
austedo,,,,,,
azathioprine,,,,,,
azilect,,,,,,
azithromycin,,,,,,
baclofen,,,,,,
bactrim,,,,,,
bactroban,,,,,,
banzel,,,,,,
baqsimi,,,,,,
basaglar,,,,,,
bavencio,,,,,,
belbuca,,,,,,
belsomra,,,,,,
benadryl,,,,,,
benazepril,,,,,,
bendeka,,,,,,
benicar,,,,,,
bentyl,,,,,,
benzonatate,,,,,,
benztropine,,,,,,
berinert,,,,,,
betamethasone-topical,,,,,,
bicalutamide,,,,,,
biktarvy,,,,,,
biotin,,"When considering the use of herbal supplements, seek the advice of your doctor. You may also consider consulting a practitioner who is trained in the use of herbal/health supplements.
If you choose to use biotin, use it as directed on the package or as directed by your doctor, pharmacist, or other healthcare provider. Do not use more of this product than is recommended on the label.
Measure liquid medicine carefully. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon).
Biotin can cause false results with certain medical tests. Tell any doctor who treats you that you are using biotin.
The recommended dietary allowance of biotin increases with age. Follow your healthcare provider's instructions. You may also consult the Office of Dietary Supplements of the National Institutes of Health, or the U.S. Department of Agriculture (USDA) Nutrient Database (formerly ""Recommended Daily Allowances"") listings for more information.
It may take 3 to 6 months before the condition of your hair or nails improves.
Call your doctor if the condition you are treating with biotin does not improve, or if it gets worse while using this product.
After you stop using biotin, your nails will likely return to their original condition within 6 to 9 months.
Store at room temperature away from moisture and heat.
",,,,
bismuth-subsalicylate,,,,,,
bisoprolol,,,,,,
blincyto,,,,,,
boniva,,,,,,
botox,,,,,,
breo-ellipta,,,,,,
breztri-aerosphere,"Before using Breztri Aerosphere, tell your healthcare provider about all of your medical conditions, including if you:

have heart problems.
have high blood pressure.
have seizures.
have thyroid problems.
have diabetes.
have liver problems.
have kidney problems.
have weak bones (osteoporosis).
have an immune system problem.
have eye problems such as glaucoma or cataracts. Breztri Aerosphere may make your glaucoma worse.
have prostate or bladder problems, or problems passing urine. Breztri Aerosphere may make these problems worse.
have any type of viral, bacterial, parasitic, or fungal infection.
are exposed to chickenpox or measles.
are pregnant or plan to become pregnant. It is not known if Breztri Aerosphere may harm your unborn baby.
are breastfeeding. It is not known if the medicines in Breztri Aerosphere pass into your breast milk and if they can harm your baby. You and your healthcare provider should decide if you will take Breztri Aerosphere while breastfeeding.

Tell your healthcare provider about all the medicines you take, including prescription and over-the-counter medicines, vitamins, and herbal supplements. Breztri Aerosphere and certain other medicines may interact with each other. This may cause serious side effects.
Especially tell your healthcare provider if you take:

anticholinergics (including tiotropium, ipratropium, aclidinium, and umeclidinium)
other LABAs (including salmeterol, formoterol fumarate, arformoterol tartrate, vilanterol, olodaterol, and indacaterol)
atropine
antifungal or anti-HIV medicines

Know the medicines you take. Keep a list of them to show your healthcare provider and pharmacist each time you get a new medicine.
",,,,,
brilinta,,,,,,
brukinsa,,,,,,
bryhali,,,,,,
budesonide,,,,,,
buprenex,,,,,,
buprenorphine,,,,,,
buprenorphine-and-naloxone-oral-sublingual,,,,,,
bupropion,,,,,,
buspar,,,,,,
buspirone,,,,,,
butalbital-compound,,,,,,
bydureon,,,,,,
bystolic,,,,,,
cabometyx,,,,,,
calcitriol,,,,,,
calcium-carbonate,"Ask a doctor or pharmacist if it is safe for you to take  calcium carbonate if you have ever had:


kidney disease;


kidney stones;


cancer;


a parathyroid gland disorder; or


high levels of calcium in your blood.


Ask a doctor before using calcium carbonate if you are pregnant or breast-feeding. Your dose needs may be different during pregnancy or while you are nursing.
",,,,,
calquence,,,,,,
caplyta,,,,,,
captopril,,,,,,
carafate,,,,,,
carbamazepine,,,,,,
carbidopa-and-levodopa,,,,,,
carvedilol,,,,,,
cefdinir,,,,,,
cefixime,,,,,,
celebrex,,,,,,
celecoxib,,,,,,
celexa,,,,,,
cephalexin,,,,,,
cequa,,,,,,
cetirizine-hcl,,,,,,
chlorthalidone,,,,,,
cholecalciferol,,,,,,
cialis,,,,,,
cimzia,,,,,,
cinryze,,,,,,
cipro,,,,,,
ciprofloxacin,,,,,,
citalopram,,,,,,
clarithromycin,,,,,,
claritin,,,,,,
clindamycin,,,,,,
clobetasol-topical,,,,,,
clobex,,,,,,
clodan,,,,,,
clonazepam,,,,,,
clonidine,,,,,,
clopidogrel,,,,,,
clotrimazole,,,,,,
codeine,,,,,,
colace,,,,,,
colchicine,,,,,,
concerta,,,,,,
coreg,,,,,,
cosentyx,,,,,,
coumadin,,,,,,
crestor,,,,,,
cyanocobalamin,,,,,,
cyclobenzaprine,,,,,,
cymbalta,,,,,,
dapagliflozin,,,,,,
decadron,,,,,,
demerol,,,,,,
depakote,,,,,,
depo-provera,,,,,,
descovy,"
If you have an allergy to emtricitabine, tenofovir, or any other part of Descovy (emtricitabine and tenofovir alafenamide).
If you are allergic to any drugs like this one, any other drugs, foods, or other substances. Tell your doctor about the allergy and what signs you had, like rash; hives; itching; shortness of breath; wheezing; cough; swelling of face, lips, tongue, or throat; or any other signs.
If you have kidney disease.
If you are taking another drug that has the same drug in it.
If you are taking any of these drugs: Rifabutin, rifampin, rifapentine, St. John's wort, or tipranavir plus ritonavir.
If you are taking any drugs that can raise the chance of kidney problems. There are many drugs that can do this. Ask your doctor or pharmacist if you are not sure.
If you are breast-feeding. Do not breast-feed while you take Descovy.

This is not a list of all drugs or health problems that interact with emtricitabine and tenofovir alafenamide.
Tell your doctor and pharmacist about all of your drugs (prescription or OTC, natural products, vitamins) and health problems. You must check to make sure that it is safe for you to take Descovy with all of your drugs and health problems. Do not start, stop, or change the dose of any drug without checking with your doctor.
",,,,,"
Store in the original container at room temperature.
Store in a dry place. Do not store in a bathroom.
Keep all drugs in a safe place. Keep all drugs out of the reach of children and pets.
Throw away unused or expired drugs. Do not flush down a toilet or pour down a drain unless you are told to do so. Check with your pharmacist if you have questions about the best way to throw out drugs. There may be drug take-back programs in your area.

"
desloratadine,,,,,,
desmopressin,,,,,,
desvenlafaxine,,,,,,
desyrel,,,,,,
detrol,,,,,,
dexamethasone,,,,,,
dexilant,,,,,,
dextroamphetamine,,,,,,
dextromethorphan,,,,,,
diacomit,,,,,,
diastat-acudial,,,,,,
diazepam,,,,,,
diclofenac,,,,,,
dicyclomine,,,,,,
diflucan,,,,,,
digoxin,,,,,,
dilantin,,,,,,
dilaudid,,,,,,
diltiazem,,,,,,
diovan,,,,,,
diphenhydramine,,,,,,
diprolene,,,,,,
divalproex-sodium,,,,,,
donepezil,,,,,,
dopamine,,,,,,
doxazosin,,,,,,
doxycycline,,,,,,
dramamine,,,,,,
dulcolax,,,,,,
dulera,,,,,,
duloxetine,,,,,,
duopa,,,,,,
dupixent,,,,,,
dutasteride,,,,,,
