item,count
Related Content,342
View Sources,341
Common Questions,336
What is being tested?,333
At a Glance,333
Test Preparation Needed?,333
Sample Required?,332
Why Get Tested?,332
When is it ordered?,330
What does the test result mean?,330
When To Get Tested?,329
On This Site,326
Elsewhere On The Web,325
Is there anything else I should know?,314
Is there anything else I should know?,314
How is the test used?,180
How is it used?,148
Related Images,83
How is the sample collected for testing?,59
Is any test preparation needed to ensure the quality of the sample?,55
Health Professionals – LOINC,53
Related Images and Video,18
How long will it take for results?,14
See Reference Range,14
How to get tested,13
Sources and Resources,13
Receiving test results,13
Before the test,13
About the Test,13
How much does the test cost?,13
Related Tests,13
During the test,13
How much does the test cost?,13
Test Quick Guide,12
What does the test measure?,12
Interpreting test results,12
What does the test measure?,12
Can I take the test at home?,12
Can I take the test at home?,12
Purpose of the test,12
After the test,10
Other related tests,8
Do I need follow-up tests?,8
Questions for your doctor about test results,8
How long will it take for my results?,7
How long will it take for my results?,7
Are test results accurate?,7
Are test results accurate?,7
"Location of the adrenal gland. Image credit: Alan Hoofring, National Cancer Institute",6
How kidneys work. Image credit: National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),5
How long does it take to get results?,4
Elsewhere on the Web,4
Overview,4
"Location of the pancreas. Image credit: Don Bliss, National Cancer Institute",4
Where can I get tested?,4
Related Video,4
Should everyone with leukemia be tested?,3
Why do I have to collect my urine for 24 hours?,3
What other lab tests may be done?,3
How long will it take to get the results of my test?,3
When are they ordered?,3
"Location of the thyroid. Image credit: Don Bliss, National Cancer Institute",3
When to Get Tested?,3
How long will it take to get the results of my test?,3
,3
The thyroid gland’s production of thyroid hormones is regulated by thyroid-stimulating hormone (TSH). Arrows show the direction of TSH from the pituitary gland to the thyroid gland and of T3 and T4 from the thyroid to the pituitary gland. Credit: NIDDK,3
What is a direct LDL cholesterol test?,3
"The liver and nearby organs. Image credit: Don Bliss, National Cancer Institute",3
,3
After the Test,3
What is a direct LDL cholesterol test?,3
How long does it take for results?,3
"The female reproductive system, including the ovaries. Image credit: Don Bliss, NCI",3
"If I have chest pain, does that mean I am having a heart attack?",2
What is Menkes kinky hair syndrome?,2
Are there other genetic mutations associated with MPNs?,2
What are some examples of these tests?,2
Can MG be inherited?,2
Can I have more than one pheochromocytoma at once?,2
Can I have more than one cause of hepatitis?,2
"If I have CAH, or my child does, should my family members be tested?",2
"If I have CAH, or my child does, should my family members be tested?",2
Can I have my blood tested instead of having a tissue biopsy?,2
Are these tests always run as a panel?,2
Can MG be inherited?,2
Who needs iron supplements?,2
Can I have decreased or abnormal fibrinogen and not know it?,2
How is anaphylaxis treated?,2
"Location of the thyroid gland. Image credit: Don Bliss, National Cancer Institute",2
"Location of the pancreas in the abdomen. Image credit: Don Bliss, National Cancer Institute",2
"Location of the liver. Image credit: Don Bliss, National Cancer Institute",2
Potassium Reference Range,2
What is Edwards syndrome?,2
What is Down syndrome?,2
"Plaque can narrow blood vessels. Image credit: National Heart, Lung and Blood Institute",2
What is rhabdomyolysis?,2
On this site,2
How serious is myasthenia gravis (MG)?,2
What medications can affect thyroid testing?,2
Removal of a colon polyp. Image credit: NIDDK,2
Can I choose either a blood or a urine B2M test?,2
Can results of testing be used to determine the course of my cancer?,2
Can results of testing be used to determine the course of my cancer?,2
What else can cause diarrhea?,2
How can my actual GFR be determined?,2
Can I get antibodies from donating blood?,2
"What is the difference between serum/plasma albumin, prealbumin, and urine albumin tests?",2
What other testing might be done?,2
What causes pancreatic insufficiency?,2
How serious is myasthenia gravis (MG)?,2
When are the tests ordered?,2
How fast does autoimmune hepatitis progress?,2
Can this test be done in my healthcare practitioner's office?,2
What is rhabdomyolysis?,2
Can this test be performed by my local laboratory?,2
Can this test be performed by my local laboratory?,2
Can this test be performed on my blood instead?,2
Can this test be performed on my blood instead?,2
Calcium,2
What are tumor markers?,2
Bilirubin,2
Should everyone have their APOE genotype tested?,2
Are there other non-invasive screening tests for these disorders?,2
"If I have chest pain, does that mean I am having a heart attack?",2
Will my results be accurate if I must continue to take my medication?,2
"The hypothalamus sends CRH to the pituitary, which responds by secreting ACTH. ACTH then causes the adrenals to release cortisol into the blood. Image credit: National Institute of Diabetes and Digestive and Kidney Diseases",2
Sodium Reference Range,2
Image credit: National Institute of Diabetes and Digestive and Kidney Diseases,2
"The female breast along with lymph nodes and vessels. An inset shows a close-up view of the breast. Image credit: Don Bliss, National Cancer Institute",2
Do healthcare practitioners test thyroid hormones during pregnancy?,2
Would this testing also be performed on a man?,2
Image credit: National Institute of Diabetes and Digestive and Kidney Diseases,2
Is it really necessary to collect urine for 24 hours?,2
Drawing of two normal intestinal folds and one polyp. Image credit: NIDDK,2
Are some people at a higher risk for developing a carcinoid tumor?,2
