title,text
1-day__uses,Tioconazole is an antifungal medication that fights infections caused by fungus
1-day__uses,1-Day (for use in the vagina) is used to treat vaginal Candida (yeast) infections
1-day__uses,1-Day may also be used for other purposes not listed in this medication guide
1-day__warnings,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use"
1-day__dosage,"Use exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended"
1-day__dosage,Do not take 1-Day by mouth. It is for use only in your vagina
1-day__dosage,This medication comes with patient instructions for safe and effective use. Follow these directions carefully. Ask your doctor or pharmacist if you have any questions
1-day__dosage,This medicine is usually given as a single dose. You should notice some improvement in your symptoms after the 1-day treatment. It may take up to 7 days after using the 1-day dose before your symptoms go away completely
1-day__dosage,"Call your doctor if your symptoms do not improve after 3 days, or if you still have symptoms for longer than 7 days. Frequent vaginal yeast infections that do not clear up with treatment may be a sign of a more serious condition"
1-day__dosage,"The single-use applicator is for one use only. Throw the applicator away after one use, even if there is still some medicine left in it after inserting your dose"
1-day__dosage,"1-Day contains mineral oil or petrolatum, which can weaken the latex rubber in a condom or diaphragm. These forms of birth control may be less effective if you use them during your treatment with this medicine. Use another form of birth control while you are using tioconazole and for at least 3 full days after your treatment ends"
1-day__dosage,Store at room temperature away from moisture and heat. Do not warm the medicine applicator before using 1-Day
1-day__what-to-avoid,"Avoid wearing tight-fitting, synthetic clothing such as nylon underwear or panty hose that does not allow air circulation. Wear loose-fitting clothing made of cotton and other natural fibers until your infection is healed"
1-day__what-to-avoid,"Do not use a tampon, vaginal douche, spermicide, or other vaginal products while you are using 1-Day. Do not have vaginal intercourse during treatment"
1-day__side-effects,"Get emergency medical help if you have any of these signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat"
1-day__side-effects,Call your doctor at once if you have new or worsening vaginal symptoms
1-day__side-effects,"Common side effects may include:


vaginal redness or swelling;


mild stomach pain;


pain or burning when you urinate;


headache, runny or stuffy nose; or


mild vaginal burning, itching or irritation after use"
1-day__side-effects,"

This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088"
1-day__interactions,"It is not likely that other drugs you take orally or inject will have an effect on tioconazole used in the vagina. But many drugs can interact with each other. Tell each of your healthcare providers about all medicines you use, including prescription and over-the-counter medicines, vitamins, and herbal products"
12-hour-nasal__uses,Oxymetazoline is a decongestant that shrinks blood vessels in the nasal passages. Dilated blood vessels can cause nasal congestion (stuffy nose)
12-hour-nasal__uses,12 Hour Nasal (for the nose) is for temporary relief of nasal congestion (stuffy nose) caused by allergies or the common cold
12-hour-nasal__uses,12 Hour Nasal may also be used for purposes not listed in this medication guide
12-hour-nasal__warnings,12 Hour Nasal (for the nose) is used for temporary relief of nasal congestion caused by allergies or the common cold
12-hour-nasal__warnings,"Stop using  12 Hour Nasal and call your doctor at once if you have ongoing or worsening symptoms, or if you have severe burning or stinging in your nose after using the nasal spray
"
12-hour-nasal__dosage,"Use exactly as directed on the label, or as prescribed by your doctor. Do not use in larger or smaller amounts or for longer than recommended"
12-hour-nasal__dosage,Using the medication too long or too often may worsen your symptoms or cause nasal congestion to clear up and come back
12-hour-nasal__dosage,Call your doctor if your symptoms do not improve after 3 days of treatment
12-hour-nasal__dosage,"Do not share this medication with another person, even if they have the same symptoms you have. Sharing a nasal spray bottle can spread infection"
12-hour-nasal__dosage,"To use the nose drops (nasal solution):


Blow your nose gently. Tilt your head back as far as possible, or lie down and hang your head over the side of a bed. Hold the dropper over your nose and place the correct number of drops into your nose"
12-hour-nasal__dosage,"

Sit up and bend your head slightly forward, then move it gently left and right. Stay seated with your head bent forward for a few minutes"
12-hour-nasal__dosage,"

Avoid sneezing or blowing your nose for at least a few minutes after using the nose drops"
12-hour-nasal__dosage,"

To use the nasal spray:


Blow your nose gently. Keep your head upright and insert the tip of bottle into one nostril. Press your other nostril closed with your finger. Breathe in quickly and gently spray the medicine into your nose. Then use the spray in your other nostril"
12-hour-nasal__dosage,"

Do not blow your nose for at least a few minutes after using the nasal spray"
12-hour-nasal__dosage,"

Do not use the nasal spray more than 2 times in 24 hours"
12-hour-nasal__dosage,Wipe the tip of the spray bottle with a clean tissue but do not wash with water or soap
12-hour-nasal__dosage,Store at room temperature away from moisture and heat. Do not freeze. Keep the bottle tightly closed when not in use
12-hour-nasal__what-to-avoid,"Follow your doctor's instructions about any restrictions on food, beverages, or activity"
12-hour-nasal__side-effects,"Get emergency medical help if you have any of these signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat"
12-hour-nasal__side-effects,"Stop using 12 Hour Nasal and call your doctor at once if you have:


ongoing or worsening symptoms;


severe burning or stinging in your nose after using the nasal spray;


chest pain, fast or uneven heart rate; or


severe headache, buzzing in your ears, anxiety, confusion, or feeling short of breath"
12-hour-nasal__side-effects,"

Common side effects may include:


mild burning or stinging of the nose;


sneezing; or


runny nose"
12-hour-nasal__side-effects,"

This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088"
